time,tavg,tmin,tmax,prcp,location,snow,wdir,wspd,wpgt,pres,tsun
01-01-1990,22.9,19.1,28.4,,BangaloreCity,,,,,,
02-01-1990,21.7,,26.5,0.0,BangaloreCity,,,,,,
03-01-1990,21.0,16.4,26.5,0.0,BangaloreCity,,,,,,
04-01-1990,20.8,,27.4,0.0,BangaloreCity,,,,,,
05-01-1990,20.4,14.2,26.1,0.0,BangaloreCity,,,,,,
06-01-1990,20.4,17.1,24.2,,BangaloreCity,,,,,,
07-01-1990,18.8,,20.5,,BangaloreCity,,,,,,
08-01-1990,20.0,16.6,25.1,0.0,BangaloreCity,,,,,,
09-01-1990,21.0,15.5,,0.0,BangaloreCity,,,,,,
10-01-1990,21.2,15.0,27.7,0.0,BangaloreCity,,,,,,
11-01-1990,21.8,16.0,28.5,0.0,BangaloreCity,,,,,,
12-01-1990,21.1,13.2,,0.0,BangaloreCity,,,,,,
13-01-1990,18.8,11.2,27.2,0.0,BangaloreCity,,,,,,
14-01-1990,19.8,11.5,29.0,0.0,BangaloreCity,,,,,,
15-01-1990,21.0,11.5,30.3,0.0,BangaloreCity,,,,,,
16-01-1990,22.1,12.6,29.7,0.0,BangaloreCity,,,,,,
17-01-1990,23.8,,29.0,0.0,BangaloreCity,,,,,,
18-01-1990,20.1,13.8,,0.0,BangaloreCity,,,,,,
19-01-1990,21.3,12.2,30.7,0.0,BangaloreCity,,,,,,
20-01-1990,20.3,13.0,30.7,0.0,BangaloreCity,,,,,,
21-01-1990,23.8,,,0.0,BangaloreCity,,,,,,
22-01-1990,22.2,13.2,30.4,0.0,BangaloreCity,,,,,,
23-01-1990,20.7,14.7,,0.0,BangaloreCity,,,,,,
24-01-1990,21.5,14.5,29.0,0.0,BangaloreCity,,,,,,
25-01-1990,22.7,15.4,30.7,0.0,BangaloreCity,,,,,,
26-01-1990,22.7,14.0,30.4,0.0,BangaloreCity,,,,,,
27-01-1990,21.2,14.8,29.4,0.0,BangaloreCity,,,,,,
28-01-1990,19.2,14.0,29.7,0.0,BangaloreCity,,,,,,
29-01-1990,20.9,13.9,28.5,0.0,BangaloreCity,,,,,,
30-01-1990,21.4,14.3,30.0,0.0,BangaloreCity,,,,,,
31-01-1990,22.4,14.4,,0.0,BangaloreCity,,,,,,
01-02-1990,22.4,13.5,31.6,0.0,BangaloreCity,,,,,,
02-02-1990,22.4,14.5,31.9,0.0,BangaloreCity,,,,,,
03-02-1990,21.7,,29.9,0.0,BangaloreCity,,,,,,
04-02-1990,22.8,,30.5,0.0,BangaloreCity,,,,,,
05-02-1990,22.9,14.0,31.3,0.0,BangaloreCity,,,,,,
06-02-1990,22.3,15.9,29.7,0.0,BangaloreCity,,,,,,
07-02-1990,20.2,12.5,27.3,0.0,BangaloreCity,,,,,,
08-02-1990,22.3,16.9,28.0,0.0,BangaloreCity,,,,,,
09-02-1990,22.8,,28.3,0.0,BangaloreCity,,,,,,
10-02-1990,22.6,,,0.0,BangaloreCity,,,,,,
11-02-1990,22.9,17.9,28.5,0.0,BangaloreCity,,,,,,
12-02-1990,23.2,17.0,29.5,0.0,BangaloreCity,,,,,,
13-02-1990,23.1,,,0.0,BangaloreCity,,,,,,
14-02-1990,24.8,16.8,30.6,0.0,BangaloreCity,,,,,,
15-02-1990,24.7,19.4,31.5,0.0,BangaloreCity,,,,,,
16-02-1990,25.8,20.6,31.5,,BangaloreCity,,,,,,
17-02-1990,25.2,18.9,33.4,0.0,BangaloreCity,,,,,,
18-02-1990,23.9,18.8,32.6,0.0,BangaloreCity,,,,,,
19-02-1990,26.3,18.8,32.3,0.0,BangaloreCity,,,,,,
20-02-1990,24.8,18.8,31.0,0.0,BangaloreCity,,,,,,
21-02-1990,24.1,17.8,31.0,0.0,BangaloreCity,,,,,,
22-02-1990,24.3,16.4,31.9,0.0,BangaloreCity,,,,,,
23-02-1990,26.1,17.9,32.2,0.0,BangaloreCity,,,,,,
24-02-1990,25.6,18.8,31.5,0.0,BangaloreCity,,,,,,
25-02-1990,25.0,18.6,31.5,0.0,BangaloreCity,,,,,,
26-02-1990,25.2,19.0,,0.0,BangaloreCity,,,,,,
27-02-1990,23.6,18.6,29.5,,BangaloreCity,,,,,,
28-02-1990,27.4,20.1,,0.0,BangaloreCity,,,,,,
01-03-1990,26.0,21.4,31.5,0.0,BangaloreCity,,,,,,
02-03-1990,27.1,21.0,33.6,0.0,BangaloreCity,,,,,,
03-03-1990,25.9,20.9,31.6,0.0,BangaloreCity,,,,,,
04-03-1990,27.1,,31.5,0.0,BangaloreCity,,,,,,
05-03-1990,26.4,21.0,32.7,0.0,BangaloreCity,,,,,,
06-03-1990,27.6,,32.7,0.0,BangaloreCity,,,,,,
07-03-1990,26.7,21.8,32.4,0.0,BangaloreCity,,,,,,
08-03-1990,26.2,21.4,33.7,0.0,BangaloreCity,,,,,,
09-03-1990,26.3,20.5,31.5,0.0,BangaloreCity,,,,,,
10-03-1990,21.6,20.1,26.7,2.3,BangaloreCity,,,,,,
11-03-1990,23.1,20.0,28.5,1.0,BangaloreCity,,,,,,
12-03-1990,25.3,20.0,31.3,0.0,BangaloreCity,,,,,,
13-03-1990,26.4,21.5,32.7,0.3,BangaloreCity,,,,,,
14-03-1990,25.8,20.5,33.5,0.0,BangaloreCity,,,,,,
15-03-1990,28.1,21.0,34.6,0.0,BangaloreCity,,,,,,
16-03-1990,25.7,,32.5,0.0,BangaloreCity,,,,,,
17-03-1990,24.8,19.0,,0.0,BangaloreCity,,,,,,
18-03-1990,24.3,18.4,30.9,0.0,BangaloreCity,,,,,,
19-03-1990,26.2,18.0,32.0,0.0,BangaloreCity,,,,,,
20-03-1990,25.8,19.1,32.5,0.0,BangaloreCity,,,,,,
21-03-1990,26.9,20.3,33.5,0.0,BangaloreCity,,,,,,
22-03-1990,27.5,21.5,34.8,0.0,BangaloreCity,,,,,,
23-03-1990,27.8,22.1,33.8,0.0,BangaloreCity,,,,,,
24-03-1990,27.1,,,0.0,BangaloreCity,,,,,,
25-03-1990,27.6,,34.5,0.0,BangaloreCity,,,,,,
26-03-1990,26.9,21.0,33.9,0.0,BangaloreCity,,,,,,
27-03-1990,27.1,21.0,34.0,0.0,BangaloreCity,,,,,,
28-03-1990,28.8,,34.3,0.0,BangaloreCity,,,,,,
29-03-1990,27.8,23.4,33.0,0.0,BangaloreCity,,,,,,
30-03-1990,28.7,23.3,33.9,0.0,BangaloreCity,,,,,,
31-03-1990,28.5,22.1,34.4,0.0,BangaloreCity,,,,,,
01-04-1990,27.8,23.0,,0.0,BangaloreCity,,,,,,
02-04-1990,29.1,23.6,34.2,,BangaloreCity,,,,,,
03-04-1990,29.1,23.6,36.2,0.0,BangaloreCity,,,,,,
04-04-1990,27.8,,36.0,0.0,BangaloreCity,,,,,,
05-04-1990,26.3,22.1,34.0,0.0,BangaloreCity,,,,,,
06-04-1990,26.7,20.9,33.2,0.0,BangaloreCity,,,,,,
07-04-1990,28.4,,32.6,0.0,BangaloreCity,,,,,,
08-04-1990,27.9,22.2,34.0,,BangaloreCity,,,,,,
09-04-1990,27.8,22.4,34.0,0.0,BangaloreCity,,,,,,
10-04-1990,27.1,23.2,33.1,,BangaloreCity,,,,,,
11-04-1990,29.4,23.6,34.4,0.0,BangaloreCity,,,,,,
12-04-1990,27.9,23.9,32.4,0.0,BangaloreCity,,,,,,
13-04-1990,29.7,24.0,35.1,0.0,BangaloreCity,,,,,,
14-04-1990,28.4,25.3,36.8,,BangaloreCity,,,,,,
15-04-1990,29.7,,35.5,,BangaloreCity,,,,,,
16-04-1990,28.1,20.0,33.4,21.3,BangaloreCity,,,,,,
17-04-1990,26.7,21.2,32.0,8.4,BangaloreCity,,,,,,
18-04-1990,28.7,21.4,34.5,0.0,BangaloreCity,,,,,,
19-04-1990,28.2,22.6,34.4,0.0,BangaloreCity,,,,,,
20-04-1990,26.6,22.9,36.3,0.0,BangaloreCity,,,,,,
21-04-1990,28.7,22.1,36.3,0.0,BangaloreCity,,,,,,
22-04-1990,31.3,,36.0,0.0,BangaloreCity,,,,,,
23-04-1990,30.7,22.4,36.6,0.0,BangaloreCity,,,,,,
